code,genre,parent
1301,Arts,
1306,Food,1301
1401,Literature,1301
1402,Design,1301
1405,Performing Arts,1301
1406,Visual Arts,1301
1459,Fashion & Beauty,1301
1303,Comedy,
1304,Education,
1415,Kâ€“12,1304
1416,Higher Education,1304
1468,Educational Technology,1304
1469,Language Courses,1304
1470,Training,1304
1305,Kids & Family,1304
1307,Health,
1417,Fitness & Nutrition,1307
1420,Self-Help,1307
1421,Sexuality,1307
1481,Alternative Health,1307
1309,TV & Film,
1310,Music,
1311,News & Politics,
1314,Religion & Spirituality,
1438,Buddhism,1314
1439,Christianity,1314
1440,Islam,1314
1441,Judaism,1314
1444,Spirituality,1314
1463,Hinduism,1314
1464,Other,1314
1315,Science & Medicine,
1477,Natural Sciences,1315
1478,Medicine,1315
1479,Social Sciences,1315
1316,Sports & Recreation,
1456,Outdoor,1316
1465,Professional,1316
1466,College & High School,1316
1467,Amateur,1316
1318,Technology,
1446,Gadgets,1318
1448,Tech News,1318
1450,Podcasting,1318
1480,Software How-To,1318
1321,Business,
1410,Careers,1321
1412,Investing,1321
1413,Management & Marketing,1321
1471,Business News,1321
1472,Shopping,1321
1323,Games & Hobbies,
1404,Video Games,1323
1454,Automotive,1323
1455,Aviation,1323
1460,Hobbies,1323
1461,Other Games,1323
1324,Society & Culture,
1302,Personal Journals,1324
1320,Places & Travel,1324
1443,Philosophy,1324
1462,History,1324
1325,Government & Organizations,
1473,National,1325
1474,Regional,1325
1475,Local,1325
1476,Non-Profit,1325